Mode: FUNC_078  Corner: FUNC_0.78V_SETUP
Scenario: FUNC_0.78V_SETUP
Constraint: max_capacitance

Category Summary
Category,VIOLATED
SRAM,16384
Power_Switch,88
Level_Shifter,2
BUF,5564
INV,62
mem,1116
others,464

Category,Type,Name,Required,Actual,Slack,Violation
SRAM,NET,bit_secure_15_slice_4_t_din2piso[11],0.025,18.146,-18.121,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_1/O1[3],0.025,18.146,-18.121,VIOLATED
BUF,NET,memory_address[54],64.000,82.074,-18.074,VIOLATED
BUF,PIN,PIN: compile_ZBUF_21_inst_248404/Y,64.000,82.074,-18.074,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[5],0.025,18.038,-18.013,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_0/O2[1],0.025,18.038,-18.013,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[6],0.025,17.992,-17.967,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_0/O2[2],0.025,17.992,-17.967,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[10],0.025,17.927,-17.902,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_1/O1[2],0.025,17.927,-17.902,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[14],0.025,17.810,-17.785,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_1/O2[2],0.025,17.810,-17.785,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[4],0.025,17.732,-17.707,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_0/O2[0],0.025,17.732,-17.707,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[13],0.025,17.638,-17.613,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_1/O2[1],0.025,17.638,-17.613,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[10],0.025,17.561,-17.536,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_1/O1[2],0.025,17.561,-17.536,VIOLATED
SRAM,NET,bit_secure_11_slice_28_t_din2piso[1],0.025,17.502,-17.477,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_28_nibble_0/O1[1],0.025,17.502,-17.477,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[9],0.025,17.400,-17.375,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_1/O1[1],0.025,17.400,-17.375,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[15],0.025,17.366,-17.341,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_1/O2[3],0.025,17.366,-17.341,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[8],0.025,17.363,-17.338,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_1/O1[0],0.025,17.363,-17.338,VIOLATED
SRAM,NET,bit_secure_15_slice_30_t_din2piso[15],0.025,17.329,-17.304,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_30_nibble_1/O2[3],0.025,17.329,-17.304,VIOLATED
SRAM,NET,bit_secure_13_slice_6_t_din2piso[11],0.025,17.324,-17.299,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_6_nibble_1/O1[3],0.025,17.324,-17.299,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[3],0.025,17.222,-17.197,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_4_nibble_0/O1[3],0.025,17.222,-17.197,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[0],0.025,17.206,-17.181,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_0/O1[0],0.025,17.206,-17.181,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[11],0.025,17.193,-17.168,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_1/O1[3],0.025,17.193,-17.168,VIOLATED
SRAM,NET,bit_secure_9_slice_31_t_din2piso[5],0.025,17.059,-17.034,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_31_nibble_0/O2[1],0.025,17.059,-17.034,VIOLATED
SRAM,NET,bit_secure_9_slice_21_t_din2piso[6],0.025,17.035,-17.010,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_21_nibble_0/O2[2],0.025,17.035,-17.010,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[4],0.025,17.007,-16.982,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_0/O2[0],0.025,17.007,-16.982,VIOLATED
SRAM,NET,bit_secure_11_slice_28_t_din2piso[6],0.025,16.942,-16.917,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_28_nibble_0/O2[2],0.025,16.942,-16.917,VIOLATED
